Nombre,Genero,Peso,Altura,Edad,Actividad Fisica,Ecuacion,Objetivos,Recomendacion,Calorias consumidas por dia,Carbohidratos,Proteinas,Lipidos,Desayuno,Almuerzo,Cena,Desayuno KCal,Almuerzo KCal,Cena KCal,Dia,Requerimiento (Kcal diarias)
Ingrid Fernandez,Mujer,65,195,34,1,Mifflin,Subir de peso,Bajar carbohidratos,1240.9,228.0,128.1,72.8,Cod with roasted winter veggies,Rhubarb and ginger sponge,Cowboy-style pork and beans,383,157,368,Lunes,1537.8
Ingrid Fernandez,Mujer,65,195,34,1,Mifflin,Subir de peso,Bajar carbohidratos,1240.9,228.0,128.1,72.8,Evesham egg muffins,Blackberry and apple cake,Blackcurrant and raspberry ice cream,316,153,185,Martes,1537.8
Ingrid Fernandez,Mujer,65,195,34,1,Mifflin,Subir de peso,Bajar carbohidratos,1240.9,228.0,128.1,72.8,Caramelised onion moutabal,Turkey and corn chowder,Butternut squash and borlotti bean stew,93,302,242,Miércoles,1537.8
Ingrid Fernandez,Mujer,65,195,34,1,Mifflin,Subir de peso,Bajar carbohidratos,1240.9,228.0,128.1,72.8,Roasted garlic and mushroom soup,Vegetable chilli,Butternut squash and borlotti bean stew,172,129,242,Jueves,1537.8
Ingrid Fernandez,Mujer,65,195,34,1,Mifflin,Subir de peso,Bajar carbohidratos,1240.9,228.0,128.1,72.8,Roast butternut squash and red lentil soup,Power porridge,Spicy roasted chickpeas,252,290,79,Viernes,1537.8
Ingrid Fernandez,Mujer,65,195,34,1,Mifflin,Subir de peso,Bajar carbohidratos,1240.9,228.0,128.1,72.8,Spiced mince and lentil stuffed peppers,Carrot cake,Fillet of lamb with minted couscous,389,141,383,Sábado,1537.8
Ingrid Fernandez,Mujer,65,195,34,1,Mifflin,Subir de peso,Bajar carbohidratos,1240.9,228.0,128.1,72.8,Poached spiced pears,Quinoa stuffed butternut squash,Carrot and swede mash,107,331,59,Domingo,1537.8
Patricia Vargas,Mujer,65,158,49,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,2427.5,214.6,173.9,45.2,Roasted tomato and pepper bulgar wheat salad,Murgh salun (chicken curry),Chana chaat (mixed bean salad),252,328,157,Lunes,1231.5
Patricia Vargas,Mujer,65,158,49,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,2427.5,214.6,173.9,45.2,Tofu noodle stir fry,Braised mustard pork and vegetables,Tomato ketchup,175,206,19,Martes,1231.5
Patricia Vargas,Mujer,65,158,49,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,2427.5,214.6,173.9,45.2,Chicken casserole,Roasted beetroot hummus,Cauliflower pizza,274,149,340,Miércoles,1231.5
Patricia Vargas,Mujer,65,158,49,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,2427.5,214.6,173.9,45.2,Plantain chips,Tropical fruit & wine ice lollies,Roasted chicory and orange salad,200,34,60,Jueves,1231.5
Patricia Vargas,Mujer,65,158,49,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,2427.5,214.6,173.9,45.2,Coconut rice pudding,Chana chaat (mixed bean salad),Szechuan chicken,206,157,198,Viernes,1231.5
Patricia Vargas,Mujer,65,158,49,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,2427.5,214.6,173.9,45.2,Mackerel rundown,Mexican tuna pâté,One crust fruit pie,302,116,256,Sábado,1231.5
Patricia Vargas,Mujer,65,158,49,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,2427.5,214.6,173.9,45.2,Mixed vegetable and bean curry,Lemon and herb chicken with chickpeas,Blueberry and avocado creamsicles,252,390,85,Domingo,1231.5
Patricia Soto,Mujer,60,153,53,1,Harris,Subir de peso,Comer mas verduras,2403.5,163.5,172.9,70.1,Baked pesto chicken with citrus couscous,Mexican turkey meatballs,Veggie brunch wraps,596,325,216,Lunes,1246.9
Patricia Soto,Mujer,60,153,53,1,Harris,Subir de peso,Comer mas verduras,2403.5,163.5,172.9,70.1,Fruity coronation chicken pitta,Fish tea,Herby stuffed aubergines,393,241,248,Martes,1246.9
Patricia Soto,Mujer,60,153,53,1,Harris,Subir de peso,Comer mas verduras,2403.5,163.5,172.9,70.1,Brussels sprout gratin,Braised mixed beans,Smoky chicken kebabs,156,305,205,Miércoles,1246.9
Patricia Soto,Mujer,60,153,53,1,Harris,Subir de peso,Comer mas verduras,2403.5,163.5,172.9,70.1,Crab tagliatelle,Blueberry and lemon cheesecake,Turkey and cranberry pinwheel tortillas,418,190,90,Jueves,1246.9
"Patricia Soto,Mujer,60,153,53,1,Harris,Subir de peso,Comer mas verduras,2403.5,163.5,172.9,70.1,""Courgette, feta and mint salad"",Gado gado,Tiny crab tartlets,69,370,22,Viernes,1246.9"
"Patricia Soto,Mujer,60,153,53,1,Harris,Subir de peso,Comer mas verduras,2403.5,163.5,172.9,70.1,Microwave mug: Sweetcorn and Cheddar crustless quiche,""Fab fish, chips and peas"",Hearty minestrone soup,203,497,305,Sábado,1246.9"
"Patricia Soto,Mujer,60,153,53,1,Harris,Subir de peso,Comer mas verduras,2403.5,163.5,172.9,70.1,""Pasta with aubergine, courgettes, ricotta and pine nuts"",Breakfast burritos,Roast chicken,432,354,209,Domingo,1246.9"
"Ingrid Rodriguez,Mujer,46,195,53,3,Mifflin,Tomar la glicemia,Aumentar proteinas,2931.1,169.9,111.9,90.9,Beef goulash,Spinach and rice soup,""Tomato, olive, asparagus and bean salad"",372,310,141,Lunes,1252.8"
Ingrid Rodriguez,Mujer,46,195,53,3,Mifflin,Tomar la glicemia,Aumentar proteinas,2931.1,169.9,111.9,90.9,Courgette fritters with salsa,Ethiopian beef stew,Sweet potato soup,130,428,294,Martes,1252.8
Ingrid Rodriguez,Mujer,46,195,53,3,Mifflin,Tomar la glicemia,Aumentar proteinas,2931.1,169.9,111.9,90.9,Paprika roast roots,Turkey and chickpea curry,Seafood parcels,122,447,257,Miércoles,1252.8
Ingrid Rodriguez,Mujer,46,195,53,3,Mifflin,Tomar la glicemia,Aumentar proteinas,2931.1,169.9,111.9,90.9,Spaghetti carbonara,Pad Thai,Mini Christmas puddings,412,408,89,Jueves,1252.8
Ingrid Rodriguez,Mujer,46,195,53,3,Mifflin,Tomar la glicemia,Aumentar proteinas,2931.1,169.9,111.9,90.9,Seafood risotto,Fruity French toast,Vietnamese crunchy peanut salad,374,245,459,Viernes,1252.8
"Ingrid Rodriguez,Mujer,46,195,53,3,Mifflin,Tomar la glicemia,Aumentar proteinas,2931.1,169.9,111.9,90.9,""Watermelon, butterbean and feta salad"",Lamb dhansak,Chicken risotto with spring vegetables,124,417,379,Sábado,1252.8"
Ingrid Rodriguez,Mujer,46,195,53,3,Mifflin,Tomar la glicemia,Aumentar proteinas,2931.1,169.9,111.9,90.9,Potato and lentil curry,Soda bread pizzetta,Aubergine and courgette Parmesan bake,282,99,222,Domingo,1252.8
Laura Silva,Mujer,75,168,70,2,Harris,Come HC en 10 min ,Aumentar proteinas,1350.7,186.0,119.0,68.0,Jerk chicken with chargrilled pineapple salsa,Baked cod with parsley and horseradish crust,Spaghetti bolognese,378,159,465,Lunes,1358.5
"Laura Silva,Mujer,75,168,70,2,Harris,Come HC en 10 min ,Aumentar proteinas,1350.7,186.0,119.0,68.0,Roasted peppers with feta cheese,Popcorn,""Cheese, onion and spinach scones"",53,34,117,Martes,1358.5"
Laura Silva,Mujer,75,168,70,2,Harris,Come HC en 10 min ,Aumentar proteinas,1350.7,186.0,119.0,68.0,Chicken noodles,Chicken risotto with spring vegetables,Vegetable chow mein,430,379,269,Miércoles,1358.5
Laura Silva,Mujer,75,168,70,2,Harris,Come HC en 10 min ,Aumentar proteinas,1350.7,186.0,119.0,68.0,Greek-style chicken pittas,Chicken nuggets,Tomato sauce,396,292,55,Jueves,1358.5
Laura Silva,Mujer,75,168,70,2,Harris,Come HC en 10 min ,Aumentar proteinas,1350.7,186.0,119.0,68.0,Braised mixed beans,Pasta and vegetable cheese,Potato pizza,305,424,357,Viernes,1358.5
Laura Silva,Mujer,75,168,70,2,Harris,Come HC en 10 min ,Aumentar proteinas,1350.7,186.0,119.0,68.0,Spiced apple polenta bites,Spaghetti bolognese,Healthy hummus,50,465,59,Sábado,1358.5
"Laura Silva,Mujer,75,168,70,2,Harris,Come HC en 10 min ,Aumentar proteinas,1350.7,186.0,119.0,68.0,Crab tagliatelle,Barley pilaf with tofu,""Haddock with salsa verde, broccoli and bean mash"",418,571,402,Domingo,1358.5"
Hector Nunez,Hombre,78,188,65,1,Harris,Aumentar masa muscular,Comer mas verduras,2522.4,168.7,183.8,58.1,Lamb provençal,Murgh salun (chicken curry),Chicken risotto with spring vegetables,253,328,379,Lunes,1666.5
Hector Nunez,Hombre,78,188,65,1,Harris,Aumentar masa muscular,Comer mas verduras,2522.4,168.7,183.8,58.1,Banana bread,Microwave mug: Apple and cinnamon fruity porridge,Harissa tomato tarts,171,212,260,Martes,1666.5
Hector Nunez,Hombre,78,188,65,1,Harris,Aumentar masa muscular,Comer mas verduras,2522.4,168.7,183.8,58.1,Apple Charlotte,Oriental beef stir-fry,Spicy prawn and pak choi stir-fry,165,214,184,Miércoles,1666.5
Hector Nunez,Hombre,78,188,65,1,Harris,Aumentar masa muscular,Comer mas verduras,2522.4,168.7,183.8,58.1,Rekha's Shirkhand,Fruity mince,Apple and cinnamon cake,87,289,185,Jueves,1666.5
Hector Nunez,Hombre,78,188,65,1,Harris,Aumentar masa muscular,Comer mas verduras,2522.4,168.7,183.8,58.1,Apple and muesli smoothie,Chicken and lentil curry,Spinach and ricotta cannelloni,296,332,171,Viernes,1666.5
Hector Nunez,Hombre,78,188,65,1,Harris,Aumentar masa muscular,Comer mas verduras,2522.4,168.7,183.8,58.1,Mackerel with tomatoes,Eliche pasta with sun-dried tomato dressing,Super soba noodles,277,412,400,Sábado,1666.5
Hector Nunez,Hombre,78,188,65,1,Harris,Aumentar masa muscular,Comer mas verduras,2522.4,168.7,183.8,58.1,Turkey and mushroom mince,Paprika roast roots,Fruity chocolate traybake,223,122,93,Domingo,1666.5
Natalia Ortiz,Mujer,55,176,50,1,Mifflin,Aumentar masa muscular,Comer mas verduras,1779.7,205.4,78.4,60.8,Tofu goujons,Orange fruit spread,Herby stuffed aubergines,270,16,248,Lunes,1239.0
Natalia Ortiz,Mujer,55,176,50,1,Mifflin,Aumentar masa muscular,Comer mas verduras,1779.7,205.4,78.4,60.8,Lamb dhansak,Beefburger,Pasta bean and chilli bake,417,321,405,Martes,1239.0
Natalia Ortiz,Mujer,55,176,50,1,Mifflin,Aumentar masa muscular,Comer mas verduras,1779.7,205.4,78.4,60.8,Spinach and mushroom lasagne,Vietnamese crunchy peanut salad,Blueberry and lemon cheesecake,287,459,190,Miércoles,1239.0
Natalia Ortiz,Mujer,55,176,50,1,Mifflin,Aumentar masa muscular,Comer mas verduras,1779.7,205.4,78.4,60.8,Tuna balls with tomato sauce,Caramelised onion moutabal,Bread sauce,394,93,90,Jueves,1239.0
Natalia Ortiz,Mujer,55,176,50,1,Mifflin,Aumentar masa muscular,Comer mas verduras,1779.7,205.4,78.4,60.8,Spicy tofu scramble,Scary pumpkin soup with tombstone bread,Piri piri chicken,182,272,229,Viernes,1239.0
Natalia Ortiz,Mujer,55,176,50,1,Mifflin,Aumentar masa muscular,Comer mas verduras,1779.7,205.4,78.4,60.8,Moroccan lamb and chickpea burgers,Chicken noodles,Vietnamese beef salad,306,430,169,Sábado,1239.0
Natalia Ortiz,Mujer,55,176,50,1,Mifflin,Aumentar masa muscular,Comer mas verduras,1779.7,205.4,78.4,60.8,Microwave mug: Sesame salmon and broccoli,Tomato and tuna pasta,Halloween biscuits,197,455,55,Domingo,1239.0
Irene Diaz,Mujer,51,170,50,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,1694.7,237.4,126.3,45.8,Lamb curry,Summer vegetables with citrus dressing,Vegetable ragu and pasta,206,102,421,Lunes,1161.5
"Irene Diaz,Mujer,51,170,50,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,1694.7,237.4,126.3,45.8,Cheddar and leek pancakes,""Spinach, red onion and potato tortilla"",Prawn noodles,201,233,186,Martes,1161.5"
Irene Diaz,Mujer,51,170,50,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,1694.7,237.4,126.3,45.8,Red lentil soup,Spinach and ricotta cannelloni,Rosemary baked onions,253,171,113,Miércoles,1161.5
Irene Diaz,Mujer,51,170,50,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,1694.7,237.4,126.3,45.8,Vegetable satay,Pasta in brodo,Peach and raspberry smoothie,292,463,133,Jueves,1161.5
"Irene Diaz,Mujer,51,170,50,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,1694.7,237.4,126.3,45.8,""Chicken, corn & lentil pilaf"",Roast squash and crunchy chickpea chicken salad,""Spaghetti with courgette, chilli and tomato"",408,362,319,Viernes,1161.5"
Irene Diaz,Mujer,51,170,50,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,1694.7,237.4,126.3,45.8,Mediterranean pasta salad,Cheegay of fish,Panna cotta with fruit compote,422,136,128,Sábado,1161.5
Irene Diaz,Mujer,51,170,50,1,Mifflin,Tomar la glicemia,Bajar carbohidratos,1694.7,237.4,126.3,45.8,Cauliflower pilaf,Doner kebabs,Sweet potato crab cakes with green chilli dip,151,360,27,Domingo,1161.5
Gustavo Soto,Hombre,82,167,58,2,Mifflin,Come HC en 10 min ,Aumentar proteinas,1626.6,212.0,80.5,68.6,All-in-one Asian salmon and broccoli traybake,Garlic bread,Chicken butter bean and leek pie,339,52,533,Lunes,1578.8
Gustavo Soto,Hombre,82,167,58,2,Mifflin,Come HC en 10 min ,Aumentar proteinas,1626.6,212.0,80.5,68.6,Tandoori chicken and vegetables,Roasted vegetable pizza,Pho,318,333,241,Martes,1578.8
Gustavo Soto,Hombre,82,167,58,2,Mifflin,Come HC en 10 min ,Aumentar proteinas,1626.6,212.0,80.5,68.6,Tiny crab tartlets,Baked eggs,Beetroot hummus,22,108,72,Miércoles,1578.8
Gustavo Soto,Hombre,82,167,58,2,Mifflin,Come HC en 10 min ,Aumentar proteinas,1626.6,212.0,80.5,68.6,Caramelised onion moutabal,Chocolate brownies,Chargrilled fennel salad,93,167,85,Jueves,1578.8
